Datos,t,Cp,RT,Absorvance
A,30,1,1,1.372
B,30,1,1,1.002
C,30,1,2,1.350
D,30,1,2,1.723
E,30,1,3,1.361
F,30,1,3,1.512
A,30,5,1,1.970
B,30,5,1,1.124
C,30,5,2,1.444
D,30,5,2,1.817
E,30,5,3,1.648
F,30,5,3,1.682
A,45,1,1,1.324
B,45,1,1,0.991
C,45,1,2,1.305
D,45,1,2,1.709
E,45,1,3,1.342
F,45,1,3,1.488
A,45,5,1,1.995
B,45,5,1,1.088
C,45,5,2,1.402
D,45,5,2,1.786
E,45,5,3,1.603
F,45,5,3,1.662
A,60,1,1,1.381
B,60,1,1,1.017
C,60,1,2,1.366
D,60,1,2,1.726
E,60,1,3,1.388
F,60,1,3,1.535
A,60,5,1,1.994
B,60,5,1,1.185
C,60,5,2,1.522
D,60,5,2,1.835
E,60,5,3,1.686
F,60,5,3,1.698
